Titel;URL;Unterrubrik;Autor;Zusammenfassung;Keywords;ID;Artikeltyp;Deskriptoren;Organisationen;Personen;Orte;Ressort;Veröffentlicht;Aktualisiert
The 67 Most Stylish People of 2025;https://www.nytimes.com/2025/12/07/style/best-dressed-people-2025.html;;By The Styles Desk;They appeared on courts and carpets, stages and sidelines, screens big and small. And they all shaped notions of style and self-expression.;"Fashion and Apparel;Two Thousand Twenty Five;ASAP Rocky;Carpenter, Sabrina (1999- );Ohtani, Shohei;Skarsgard, Alexander;Alcaraz, Carlos (2003- );Taylor, Teyana (1990- );Hall, Regina;Haliburton, Tyrese;Hoffman, Robby (Comedian);Bad Bunny (Singer);Casalegno, Gavin (1999- );Tung, Lola (2002- );Doechii (1998- );Sheinbaum, Claudia;Wyle, Noah;Escola, Cole;Rosalia (Singer);Gilgeous-Alexander, Shai;Lawrence, Jennifer;Blazy, Matthieu;Goggins, Walton;Leo XIV;Stalter, Meg;Benjamin, Andre (Andre 3000);Scherzinger, Nicole;Bueckers, Paige (2001- );Wilson, Vivian Jenna;Khan, Shahrukh;Dimoldenberg, Amelia;Yang, Bowen (1990- );Rogers, Matt (Comedian);Osaka, Naomi (1997- );Lamar, Kendrick;Carter, Graydon;Diller, Barry;McNally, Keith;Cardi B (1992- );Trump, Melania;Gallagher, Liam;Parker, Sarah Jessica;Gallagher, Noel;Boone, Benson;Chalamet, Timothee (1995- );Akerman, Malin;Jordan, Michael B;Madigan, Amy;Snow, Brittany;Winter, Cameron (Musician);New Yorker;Erewhon Market";1E+14;Article;['Fashion and Apparel', 'Two Thousand Twenty Five'];['New Yorker', 'Erewhon Market'];['ASAP Rocky', 'Carpenter, Sabrina (1999- )', 'Ohtani, Shohei', 'Skarsgard, Alexander', 'Alcaraz, Carlos (2003- )', 'Taylor, Teyana (1990- )', 'Hall, Regina', 'Haliburton, Tyrese', 'Hoffman, Robby (Comedian)', 'Bad Bunny (Singer)', 'Casalegno, Gavin (1999- )', 'Tung, Lola (2002- )', 'Doechii (1998- )', 'Sheinbaum, Claudia', 'Wyle, Noah', 'Escola, Cole', 'Rosalia (Singer)', 'Gilgeous-Alexander, Shai', 'Lawrence, Jennifer', 'Blazy, Matthieu', 'Goggins, Walton', 'Leo XIV', 'Stalter, Meg', 'Benjamin, Andre (Andre 3000)', 'Scherzinger, Nicole', 'Bueckers, Paige (2001- )', 'Wilson, Vivian Jenna', 'Khan, Shahrukh', 'Dimoldenberg, Amelia', 'Yang, Bowen (1990- )', 'Rogers, Matt (Comedian)', 'Osaka, Naomi (1997- )', 'Lamar, Kendrick', 'Carter, Graydon', 'Diller, Barry', 'McNally, Keith', 'Cardi B (1992- )', 'Trump, Melania', 'Gallagher, Liam', 'Parker, Sarah Jessica', 'Gallagher, Noel', 'Boone, Benson', 'Chalamet, Timothee (1995- )', 'Akerman, Malin', 'Jordan, Michael B', 'Madigan, Amy', 'Snow, Brittany', 'Winter, Cameron (Musician)'];[];Style;07.12.25;09.12.25 15:51
Trump Has Long Disdained Europe’s Elites. Now, It’s Official.;https://www.nytimes.com/2025/12/06/world/europe/trump-europe-strategy-document.html;Europe;By Jason Horowitz;A new White House policy document formalizes President Trump’s long-held contempt for Europe’s leaders. It made clear that the continent now stands at a strategic crossroads.;"United States International Relations;International Relations;Defense and Military Forces;internal-open-access-from-nl;Trump, Donald J;North Atlantic Treaty Organization;European Union;Europe;Russia";1E+14;Article;['United States International Relations', 'International Relations', 'Defense and Military Forces', 'internal-open-access-from-nl'];['North Atlantic Treaty Organization', 'European Union'];['Trump, Donald J'];['Europe', 'Russia'];World;06.12.25;08.12.25 00:39
Overmatched: Why the U.S. Military Must Reinvent Itself;https://www.nytimes.com/interactive/2025/12/08/opinion/us-china-taiwan-military.html;Editorials;By The Editorial Board;Investing in the old ways of war leaves America at risk.;"United States Defense and Military Forces;Russian Invasion of Ukraine (2022);United States Politics and Government;War and Armed Conflicts;Missiles and Missile Defense Systems;Politics and Government;Military Aircraft;Drones (Pilotless Planes);United States International Relations;Hegseth, Pete;Trump, Donald J;Xi Jinping;Defense Department;China;Taiwan";1E+14;Interactive;['United States Defense and Military Forces', 'Russian Invasion of Ukraine (2022)', 'United States Politics and Government', 'War and Armed Conflicts', 'Missiles and Missile Defense Systems', 'Politics and Government', 'Military Aircraft', 'Drones (Pilotless Planes)', 'United States International Relations'];['Defense Department'];['Hegseth, Pete', 'Trump, Donald J', 'Xi Jinping'];['China', 'Taiwan'];Opinion;08.12.25;12.12.25 08:28
Why Some Doctors Say There Are Cancers That Shouldn’t Be Treated;https://www.nytimes.com/2025/12/08/health/cancer-young-people-deaths.html;;By Gina Kolata;Statistics show a clear spike in eight cancers in younger people, but that has brought a debate over whether many cases ever needed to be found.;"Cancer;Tests (Medical);Deaths (Fatalities);Medical Imaging;Prostate Cancer";1E+14;Article;['Cancer', 'Tests (Medical)', 'Deaths (Fatalities)', 'Medical Imaging', 'Prostate Cancer'];[];[];[];Health;08.12.25;09.12.25 12:11
Should You Really Wait Till 70 to Take Social Security?;https://www.nytimes.com/2025/12/07/business/social-security-70-retirement.html;;By Brian J. O’Connor;The standard advice is to hold off, but most retirees claim the benefit as soon as they can, at age 62. Here’s what to know when you’re planning the unplannable.;"Social Security (US);Retirement;Personal Finances;Age, Chronological;Pensions and Retirement Plans;Income;Content Type: Service;High Net Worth Individuals;Taxation;Part-Time Employment;Cost of Living and Affordability;Social Security Administration";1E+14;Article;['Social Security (US)', 'Retirement', 'Personal Finances', 'Age, Chronological', 'Pensions and Retirement Plans', 'Income', 'Content Type: Service', 'High Net Worth Individuals', 'Taxation', 'Part-Time Employment', 'Cost of Living and Affordability'];['Social Security Administration'];[];[];Business;07.12.25;08.12.25 16:56
What I Learned When I Dug Into My Retirement Account;https://www.nytimes.com/2025/12/08/opinion/government-retirement-savings-china.html;;By Jonathan E. Hillman;Do you know where your retirement savings are invested? When I looked into mine, I discovered that parts of it ran counter to U.S. foreign policy priorities.;"Pensions and Retirement Plans;International Relations;Politics and Government;United States International Relations;Russian Invasion of Ukraine (2022);Stocks and Bonds;Defense and Military Forces;Foreign Investments;Retirement;Rubio, Marco;Huawei Technologies Co Ltd;Oversea-Chinese Banking Corp;China;Russia;Ukraine;United States";1E+14;Article;['Pensions and Retirement Plans', 'International Relations', 'Politics and Government', 'United States International Relations', 'Russian Invasion of Ukraine (2022)', 'Stocks and Bonds', 'Defense and Military Forces', 'Foreign Investments', 'Retirement'];['Huawei Technologies Co Ltd', 'Oversea-Chinese Banking Corp'];['Rubio, Marco'];['China', 'Russia', 'Ukraine', 'United States'];Opinion;08.12.25;10.12.25 20:20
At State Dept., a Typeface Falls Victim in the War Against Woke;https://www.nytimes.com/2025/12/09/us/politics/rubio-state-department-font.html;Politics;By Michael Crowley and Hamed Aleaziz;Secretary of State Marco Rubio called the Biden-era move to the sans serif typeface “wasteful,” casting the return to Times New Roman as part of a push to stamp out diversity efforts.;"Typography;Diversity Initiatives;Disabilities;United States Politics and Government;Rubio, Marco;Blinken, Antony J;Trump, Donald J;State Department";1E+14;Article;['Typography', 'Diversity Initiatives', 'Disabilities', 'United States Politics and Government'];['State Department'];['Rubio, Marco', 'Blinken, Antony J', 'Trump, Donald J'];[];U.S.;09.12.25;11.12.25 20:21
Cruise Passenger Was Served 33 Drinks Before Deadly Encounter With Crew, Suit Says;https://www.nytimes.com/2025/12/09/travel/royal-caribbean-cruise-homicide-33-drinks.html;;By Claire Fahy;Michael Virgil, 35, became agitated on a Royal Caribbean ship and was restrained by at least five crew members, including some who stood on his back, before he died, the medical examiner said.;"Travel and Vacations;Cruises;Murders, Attempted Murders and Homicides;Suits and Litigation (Civil);Maritime Accidents and Safety;Royal Caribbean Cruises Ltd;Los Angeles County (Calif)";1E+14;Article;['Travel and Vacations', 'Cruises', 'Murders, Attempted Murders and Homicides', 'Suits and Litigation (Civil)', 'Maritime Accidents and Safety'];['Royal Caribbean Cruises Ltd'];[];['Los Angeles County (Calif)'];Travel;09.12.25;10.12.25 23:22
Supreme Court Agrees to Review Trump Order Restricting Birthright Citizenship;https://www.nytimes.com/2025/12/05/us/politics/supreme-court-trump-birthright-citizenship.html;Politics;By Abbie VanSickle;The administration asked the justices to uphold an executive order ending birthright citizenship after lower courts ruled it violated the Constitution.;"United States Politics and Government;Citizenship and Naturalization;Executive Orders and Memorandums;Suits and Litigation (Civil);Illegal Immigration;Fourteenth Amendment (US Constitution);Federal Courts (US);Civil Rights and Liberties;Trump, Donald J;Wong Kim Ark (b 1873);Supreme Court (US);American Civil Liberties Union";1E+14;Article;['United States Politics and Government', 'Citizenship and Naturalization', 'Executive Orders and Memorandums', 'Suits and Litigation (Civil)', 'Illegal Immigration', 'Fourteenth Amendment (US Constitution)', 'Federal Courts (US)', 'Civil Rights and Liberties'];['Supreme Court (US)', 'American Civil Liberties Union'];['Trump, Donald J', 'Wong Kim Ark (b 1873)'];[];U.S.;05.12.25;06.12.25 08:38
Frank Gehry, Titan of Architecture, Is Dead at 96;https://www.nytimes.com/2025/12/05/arts/design/frank-gehry-dead.html;Art & Design;By Nicolai Ouroussoff;He designed some of the world’s most recognizable buildings, notably the spectacular Guggenheim Museum Bilbao, his masterpiece.;"Deaths (Obituaries);Architecture;Museums;Gehry, Frank;Guggenheim Museum Bilbao;Disney, Walt, Concert Hall;Vitra Design Museum;Louis Vuitton Foundation for Creation;California;Bilbao (Spain)";1E+14;Article;['Deaths (Obituaries)', 'Architecture', 'Museums'];['Guggenheim Museum Bilbao', 'Disney, Walt, Concert Hall', 'Vitra Design Museum', 'Louis Vuitton Foundation for Creation'];['Gehry, Frank'];['California', 'Bilbao (Spain)'];Arts;05.12.25;08.12.25 11:52
